source_id,ra,dec,parallax,parallax_err,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4689622636717772032,6.405913,-72.176643,-0.032,0.585,20.298,20.310,19.190
4689625209434235648,5.647913,-72.198456,0.146,0.644,20.417,19.888,19.401
4689622671089038976,6.478303,-72.163872,0.075,0.766,20.149,20.300,19.172
4689623392642347776,6.410532,-72.164032,0.310,0.126,17.972,18.274,17.423
4689621434137978496,5.906698,-72.233276,0.276,0.088,17.373,17.608,16.842
4689622121332126080,6.259066,-72.215462,0.219,0.114,17.926,18.182,17.355
4689623530070992128,6.275137,-72.168625,0.076,0.130,17.871,18.070,17.253
4689623147819178112,6.241038,-72.179871,0.171,0.133,18.156,18.366,17.571
4689623014685842432,6.121617,-72.202934,0.268,0.158,18.457,18.670,17.822
4689621979607695488,6.147410,-72.230354,0.201,0.196,18.834,18.921,17.960
4689621979584821248,6.101748,-72.238846,0.242,0.034,15.302,15.747,14.631
4689621498586748032,5.988643,-72.235588,0.158,0.132,18.141,18.347,17.525
4689624595233807232,5.998369,-72.188583,-0.054,0.161,18.323,18.345,17.513
4689623117764996352,6.182165,-72.187752,0.058,0.239,19.016,18.572,17.492
4689624694038367744,5.826619,-72.207108,0.128,0.110,17.920,18.029,17.241
4689623255193153408,6.261813,-72.194656,-0.566,0.245,18.931,18.938,18.172
4689622666801063936,6.466413,-72.171577,0.116,0.116,17.856,18.082,17.314
4689625346854929920,5.781104,-72.180893,0.080,0.148,18.418,18.556,17.739
4689624389065634944,5.899091,-72.222206,0.629,0.321,19.237,19.089,18.010
4689624526504452480,6.017120,-72.194321,0.296,0.181,18.305,18.360,17.672
4689622460623851520,6.334212,-72.201836,0.297,0.192,18.006,18.216,17.439
4689621532942928896,5.933972,-72.226868,1.499,0.752,20.398,20.473,19.343
4689623049045581184,6.085554,-72.199036,0.152,0.090,17.352,17.519,16.762
4689623530070992256,6.277772,-72.169456,0.757,0.738,19.516,18.777,17.757
4689624629584267520,5.847097,-72.206680,0.160,0.093,17.610,17.765,16.989
4689623633160495232,6.329798,-72.143417,0.113,0.195,18.399,18.536,17.658
4689624320356223488,5.794299,-72.212662,0.240,0.117,18.010,18.270,17.466
4689623594517456640,6.261025,-72.155357,-0.823,0.422,19.383,19.233,17.816
4689622082687251328,6.204654,-72.218910,-0.395,0.553,20.365,20.079,18.991
4689623770599401856,6.429702,-72.125175,0.575,0.425,18.069,18.008,17.165
4689622877246365184,6.225277,-72.207123,0.409,0.114,17.851,18.046,17.249
4689624247330719744,5.792874,-72.221115,-0.141,0.290,19.292,19.368,18.442
4689622499278907776,6.316642,-72.200104,0.236,0.256,18.818,19.007,18.202
4689623010399831296,6.112266,-72.205925,0.141,0.188,18.689,18.572,17.670
4689622980326154368,6.040186,-72.216248,0.315,0.415,19.697,19.546,18.631
4689622082681138560,6.201475,-72.220329,0.112,0.373,19.879,19.720,18.939
4689621571576865536,6.032162,-72.207199,0.156,0.088,17.414,17.607,16.873
4689622117025280384,6.259875,-72.210388,0.031,0.071,17.085,17.358,16.538
4689625316788619264,5.698505,-72.189034,0.286,0.037,15.917,16.343,15.281
4689624560874120960,5.944333,-72.206154,0.061,0.266,17.913,17.714,16.954
4689624728398529280,5.858845,-72.198914,2.474,0.786,20.259,19.370,18.470
4689624389075479552,5.886785,-72.232422,0.370,0.164,18.340,18.517,17.617
4689621296689682944,5.994376,-72.238174,0.192,0.644,20.356,19.848,18.840
4689623736239663616,6.404426,-72.122459,-0.529,0.413,19.315,19.186,18.302
4689622568000376832,6.377687,-72.197487,-0.621,0.555,20.041,19.716,18.622
4689621292428318080,5.992002,-72.244705,-0.179,0.187,18.747,18.823,17.938
4689624247329042944,5.777969,-72.229912,0.121,0.055,16.567,16.990,15.937
4689623220833347072,6.225297,-72.163605,0.227,0.199,18.696,18.537,17.782
4689623560156246400,6.316751,-72.161827,-0.913,1.021,20.723,19.961,19.248
4689624831477603456,5.935730,-72.184616,0.453,0.409,19.475,19.518,18.432
4689621498583257984,6.001100,-72.232010,-0.571,0.620,20.276,20.180,19.331
4689624732663401344,5.902975,-72.188477,1.463,0.333,18.877,18.322,17.897
4689624865819355392,6.003698,-72.168495,0.297,0.091,17.535,17.566,16.781
4689624384782717568,5.905187,-72.222321,0.181,0.293,19.081,19.219,18.340
4689622121332125696,6.239232,-72.213043,0.059,0.148,17.783,18.223,16.976
4689621979607300736,6.147738,-72.234818,0.202,0.385,19.801,20.060,18.764
4689621567302533120,6.025908,-72.211113,0.316,0.322,19.380,19.334,18.426
4689622671087840256,6.462911,-72.169113,0.095,0.114,17.899,18.132,17.365
4689621532913464960,5.947341,-72.224060,0.013,0.248,19.238,19.399,18.467
4689623220844143616,6.207938,-72.170120,0.031,0.145,18.263,18.293,17.599
4689623766309016704,6.433951,-72.117142,0.247,0.185,18.533,18.682,17.719
4689623598800776448,6.288438,-72.149902,0.458,0.133,17.958,18.014,17.197
4689623186485114112,6.175737,-72.175331,0.044,0.338,18.996,18.927,18.065
4689624629593868672,5.813902,-72.215012,0.530,0.201,18.643,18.599,17.827
4689623182192655232,6.163773,-72.185196,0.075,0.158,18.224,18.372,17.616
4689621292424618880,6.017212,-72.233055,0.379,0.256,19.050,18.792,17.766
4689624728379969024,5.869676,-72.196526,0.173,0.087,17.407,17.660,16.889
4689623594518042496,6.298993,-72.152351,-0.236,0.239,18.731,18.605,17.806
4689623147833095936,6.222289,-72.180946,0.216,0.090,17.059,17.294,16.466
4689625144980328704,5.767798,-72.192375,0.324,0.143,18.130,18.241,17.407
4689622842876357760,6.182395,-72.218895,0.896,0.405,19.806,19.518,18.406
4689622254480221824,6.326138,-72.216911,-0.071,0.247,19.205,19.314,18.334
4689621296689187840,5.997707,-72.235672,-0.808,0.358,19.622,19.485,18.615
4689624423425891584,5.820604,-72.223839,0.562,0.113,17.529,17.634,16.867
4689623594509832192,6.265562,-72.153458,0.198,0.072,17.024,17.209,16.327
4689624870111681280,5.975007,-72.173744,0.616,0.198,18.362,18.098,17.439
4689623250897834624,6.288822,-72.190697,0.112,0.141,18.324,18.547,17.702
4689623598800776576,6.302310,-72.151566,0.292,0.157,18.299,17.604,16.983
4689623182198671360,6.153666,-72.180855,1.150,0.668,20.007,19.781,19.003
4689622911606108800,6.176594,-72.206779,0.349,0.072,17.103,17.175,16.348
4689625278134973312,5.644258,-72.193161,0.579,0.756,20.317,20.222,19.180
4689622117040943488,6.220591,-72.216835,0.633,0.589,20.315,19.871,18.786
4689622426284880768,6.319014,-72.206459,1.039,0.715,20.594,20.339,19.469
4689621949524217600,6.088616,-72.246712,0.561,0.269,19.147,19.310,18.334
4689625071995230976,5.787595,-72.201927,0.914,0.565,20.166,19.980,19.070
4689621979607299456,6.137295,-72.237541,-0.148,0.387,19.791,19.920,18.949
4689623422717210752,6.444466,-72.162041,0.501,0.300,19.155,19.313,18.368
4689622941680541312,6.218271,-72.190895,-0.473,0.318,19.335,19.592,18.578
4689622808527462656,6.096232,-72.223122,0.110,0.176,18.434,17.976,17.168
4689622808527447936,6.116249,-72.217758,-2.345,0.491,17.730,17.225,16.444
4689623079119730176,6.093596,-72.194817,0.195,0.017,13.882,14.343,13.250
4689622705438453376,6.075188,-72.242325,1.405,0.412,19.637,19.270,17.977
4689625346873137280,5.786929,-72.169426,0.707,0.341,19.509,19.304,18.623
4689623564441038336,6.352243,-72.156837,0.468,0.303,19.102,19.448,18.143
4689624629593868416,5.817427,-72.215286,1.645,0.018,13.982,14.332,13.470
4689623770599700480,6.453347,-72.124306,0.176,0.125,18.092,18.293,17.464
4689621532942718976,5.933640,-72.227715,0.040,0.380,19.466,19.901,18.631
4689625110630205696,5.714606,-72.202942,0.887,0.408,19.666,19.661,18.607
4689624694012153984,5.812987,-72.209167,0.190,0.035,15.712,16.135,15.051
4689624522239822720,5.984065,-72.203590,0.187,0.154,18.505,18.445,17.807
4689622082686926208,6.193072,-72.218460,2.023,0.373,18.958,18.747,17.894
4689623731949135872,6.385149,-72.138718,-0.056,0.275,19.171,19.440,18.454
4689623113458207104,6.180093,-72.188286,0.225,0.087,17.414,17.646,16.886
4689621979607299328,6.136839,-72.238754,-0.284,0.445,20.000,19.969,18.339
4689623422717210624,6.443247,-72.157532,-0.074,0.384,19.375,19.715,18.380
4689622086962122624,6.188458,-72.225060,0.080,0.139,18.231,18.322,17.509
4689625346840759936,5.753678,-72.180908,0.638,0.152,18.404,18.580,17.674
4689624663943978112,5.890155,-72.202866,0.267,0.115,17.796,18.010,17.279
4689622739807986304,6.126658,-72.226456,0.284,0.086,17.486,17.770,16.961
4689624389065639936,5.893266,-72.223152,0.036,0.465,19.525,19.607,18.747
4689621223687213952,6.045701,-72.244949,-0.055,0.380,19.761,19.605,18.717
4689624389065632128,5.899002,-72.221207,0.149,0.109,17.518,17.736,16.985
4689624797099898880,6.008735,-72.177208,0.216,0.172,18.513,18.401,17.619
4689624762757865088,5.919692,-72.192162,0.428,0.105,17.539,17.558,16.840
4689622877246370688,6.208745,-72.210815,0.604,0.209,19.034,18.966,18.129
4689625106324198912,5.691557,-72.203629,0.360,0.214,18.667,18.918,18.016
4689623663237694336,6.398985,-72.141960,0.318,0.076,17.191,17.372,16.560
4689622499278907904,6.292977,-72.197670,0.129,0.104,17.696,17.778,17.064
4689624247361403520,5.759854,-72.227013,-0.043,0.212,18.855,19.061,18.218
4689623663237554944,6.363890,-72.149582,0.000,0.168,18.359,18.443,17.721
4689622804241535104,6.128905,-72.208427,-1.037,0.419,19.348,19.494,18.475
4689625140714846592,5.788436,-72.190186,4.570,1.293,20.587,20.278,19.205
4689622052613203712,6.219308,-72.229355,1.234,0.610,20.327,19.486,18.746
4689624457795178240,5.867682,-72.222992,-0.045,0.190,18.779,19.049,18.127
4689623491431110144,6.436275,-72.146149,-0.413,0.507,19.937,19.914,18.824
4689624423425891456,5.848877,-72.227119,0.332,0.115,17.958,18.231,17.405
4689623049045593856,6.060554,-72.201241,-0.120,0.091,17.426,17.606,16.856
4689621567302525312,6.016439,-72.208282,0.237,0.373,19.672,19.600,18.685
4689623598790387456,6.297216,-72.146530,0.237,0.067,16.807,17.112,16.162
4689623117764995456,6.185607,-72.187798,0.164,0.092,17.474,17.450,16.672
4689622082687249536,6.202982,-72.225945,1.339,0.691,20.610,20.578,19.618
4689623147839237504,6.221963,-72.177765,0.290,0.157,18.049,17.315,16.813
4689625278153713408,5.649338,-72.189980,1.004,0.660,20.401,20.338,19.211
4689623426991706240,6.434962,-72.165520,0.084,0.102,17.474,17.477,16.687
4689624590959320576,6.022502,-72.188431,0.455,0.135,18.211,18.411,17.573
4689624767032500096,5.965182,-72.185204,0.240,0.116,17.870,17.961,17.183
4689623147838971136,6.217999,-72.183136,0.105,0.334,19.449,19.126,18.402
4689623560158236416,6.350142,-72.149323,0.145,0.081,15.829,16.039,15.008
4689623736229241472,6.407224,-72.125580,0.345,0.090,17.437,17.686,16.901
4689624526514381824,5.987869,-72.210739,-0.325,0.168,17.985,18.045,17.218
